phrase,count,domain,ef_candidates,ss_top1,pr_top1
ifcbeam | vig_est_ace_w14x30,53,structure,ef_20_10,ss_20_20_75,pr_20_31_35_62
ifcbeam | vig_est_ace_w410x85,2,structure,ef_20_10,ss_20_20_75,pr_20_31_35_62
ifcbeam | plate,28,structure,ef_20_10,ss_20_20_75,pr_75_30_27_77
ifcbeam | trb_est_hoa_80x30cm,2,structure,ef_20_10,ss_20_20_75,pr_35_31_85_36
ifcbeam | trb_est_hoa_30x30cm,182,structure,ef_20_10,ss_20_20_75,pr_35_31_85_36
ifcbeam | seat,1,structure,ef_20_10,ss_20_20_75,pr_40_30_29_98
ifcbeam | trb_est_hoa_50x30cm,5,structure,ef_20_10,ss_20_20_75,pr_35_31_85_36
"ifcbeam | vig_est_ace_w250x38,5",2,structure,ef_20_10,ss_20_20_75,pr_20_31_35_62
ifccolumn | col_est_hoa_30x30cm,55,structure,ef_20_10,ss_20_30_75,pr_35_31_85_36
ifccolumn | col_est_hoa_d30cm,100,structure,ef_20_10,ss_20_30_75,pr_35_31_85_36
ifccolumn | col_est_ace_w410x60,16,structure,ef_20_10,ss_20_30_75,pr_30_36_59
ifccolumn | plate,7,structure,ef_20_10,ss_20_30_75,pr_40_30_50_49
ifcfooting | strip footing,3,structure,ef_20_05,ss_20_05_15,pr_20_85_13_65
ifcfooting | cim_est_hoa_c2,2,structure,ef_20_05,ss_20_05_15,pr_80_77_27_91
ifcfooting | cim_est_hoa_c1,5,structure,ef_20_05,ss_20_05_15,pr_20_76_70_22
ifcslab | slab,2,structure,ef_30_20,ss_20_50_25_80,pr_35_93_96_85
ifcslab | pis_est_hoa_25cm,2,structure,ef_30_20,ss_20_50_25_80,pr_35_31_85_36
ifcslab | pis_est_hoa_20cm,9,structure,ef_30_20,ss_20_50_25_80,pr_35_31_85_36
ifcwall | muh_est_hoa_30cm,84,structure,ef_25_10,ss_25_10,pr_35_31_85_36
ifcwall | muh_est_hoa_40cm,1,structure,ef_25_10,ss_25_10,pr_35_31_85_36
ifcwall | wall,11,structure,ef_25_10,ss_25_10,pr_30_59_99_83
ifcwall,2,structure,ef_25_10,ss_25_10,pr_35_31_85_36
ifcelementassembly | unknown,747,structure,ef_20_10,ss_85_30,pr_35_31_85_36
ifcreinforcingbar | tie,391,structure,ef_20_10,ss_32_46_50_05,pr_20_85_84_46
ifcreinforcingbar | vrt,1060,structure,ef_20_10,ss_32_46_50_05,pr_70_65_03_94
ifcreinforcingbar | rebar,801,structure,ef_20_10,ss_32_46_50_05,pr_15_31_04_15
ifcreinforcingbar | trim u-bar,172,structure,ef_20_10,ss_32_46_50_05,pr_65_72_59_19
ifcreinforcingbar | trim edge,106,structure,ef_20_10,ss_32_46_50_05,pr_40_30_80_77
ifcreinforcingbar | cnr diag,126,structure,ef_20_10,ss_32_46_50_05,pr_20_85_18_10
ifcreinforcingbar | long tul,5,structure,ef_20_10,ss_32_46_50_05,pr_20_31_35_62
ifcreinforcingbar | long tll,5,structure,ef_20_10,ss_32_46_50_05,pr_20_85_28_16
ifcreinforcingbar | transv bul,5,structure,ef_20_10,ss_32_46_50_05,pr_40_10_90_10
ifcreinforcingbar | transv bll,5,structure,ef_20_10,ss_32_46_50_05,pr_20_76_08_62
ifcreinforcingbar | edge trim,16,structure,ef_20_10,ss_32_46_50_05,pr_35_90_31_31
ifcreinforcingbar | stirr,211,structure,ef_20_10,ss_32_46_50_05,pr_40_70_65_29
ifcreinforcingbar | longit bott,217,structure,ef_20_10,ss_32_46_50_05,pr_75_50_02_39
ifcreinforcingbar | longit top,215,structure,ef_20_10,ss_32_46_50_05,pr_20_76_64_13
ifcreinforcingmesh | mesh,459,structure,ef_20_10,ss_32_46_50_05,pr_30_59_57_08
